region,category,parameter,mode,powertrain,year,unit,value
Europe,Projection-APS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.03200000151991844
Europe,Projection-APS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",1900
Europe,Projection-APS,EV sales,Cars,BEV,2020,Vehicles,760000
Europe,Projection-APS,EV stock,Cars,BEV,2020,Vehicles,1700000
Europe,Projection-APS,EV sales,Cars,FCEV,2020,Vehicles,740
Europe,Projection-APS,EV stock,Cars,FCEV,2020,Vehicles,2400
Europe,Projection-APS,EV sales share,Cars,EV,2020,percent,10
Europe,Projection-APS,EV stock,Cars,PHEV,2020,Vehicles,1400000
Europe,Projection-APS,EV stock share,Cars,EV,2020,percent,1.100000023841858
Europe,Projection-APS,Electricity demand,Cars,EV,2020,GWh,4600
Europe,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,640000
Europe,Projection-APS,EV sales,Cars,PHEV,2021,Vehicles,1100000
Europe,Projection-APS,Electricity demand,Cars,EV,2021,GWh,7800
Europe,Projection-APS,EV stock share,Cars,EV,2021,percent,1.7999999523162842
Europe,Projection-APS,EV stock,Cars,PHEV,2021,Vehicles,2500000
Europe,Projection-APS,EV sales share,Cars,EV,2021,percent,17
Europe,Projection-APS,EV stock,Cars,FCEV,2021,Vehicles,3400
Europe,Projection-APS,EV sales,Cars,FCEV,2021,Vehicles,960
Europe,Projection-APS,EV stock,Cars,BEV,2021,Vehicles,2900000
Europe,Projection-APS,EV sales,Cars,BEV,2021,Vehicles,1200000
Europe,Projection-APS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.06199999898672104
Europe,Projection-APS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",3600
Europe,Projection-APS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.10000000149011612
Europe,Projection-APS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",6000
Europe,Projection-APS,EV sales,Cars,BEV,2022,Vehicles,1600000
Europe,Projection-APS,EV stock,Cars,BEV,2022,Vehicles,4400000
Europe,Projection-APS,EV sales,Cars,FCEV,2022,Vehicles,1300
Europe,Projection-APS,EV sales share,Cars,EV,2022,percent,20
Europe,Projection-APS,EV stock,Cars,PHEV,2022,Vehicles,3400000
Europe,Projection-APS,EV stock share,Cars,EV,2022,percent,2.700000047683716
Europe,Projection-APS,Electricity demand,Cars,EV,2022,GWh,11000
Europe,Projection-APS,EV sales,Cars,PHEV,2022,Vehicles,1100000
Europe,Projection-APS,EV stock,Cars,FCEV,2022,Vehicles,4700
Europe,Projection-APS,EV stock,Cars,FCEV,2023,Vehicles,5500
Europe,Projection-APS,EV sales,Cars,PHEV,2023,Vehicles,1100000
Europe,Projection-APS,Electricity demand,Cars,EV,2023,GWh,29000
Europe,Projection-APS,EV stock share,Cars,EV,2023,percent,3.799999952316284
Europe,Projection-APS,EV stock,Cars,PHEV,2023,Vehicles,4500000
Europe,Projection-APS,EV sales share,Cars,EV,2023,percent,21
Europe,Projection-APS,EV sales,Cars,FCEV,2023,Vehicles,820
Europe,Projection-APS,EV stock,Cars,BEV,2023,Vehicles,6700000
Europe,Projection-APS,EV sales,Cars,BEV,2023,Vehicles,2200000
Europe,Projection-APS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.17000000178813934
Europe,Projection-APS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",10000
Europe,Projection-APS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.3100000023841858
Europe,Projection-APS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",18000
Europe,Projection-APS,EV sales,Cars,BEV,2025,Vehicles,3600000
Europe,Projection-APS,EV sales,Cars,FCEV,2025,Vehicles,5800
Europe,Projection-APS,EV sales,Cars,PHEV,2025,Vehicles,1100000
Europe,Projection-APS,EV stock,Cars,BEV,2025,Vehicles,13000000
Europe,Projection-APS,EV stock,Cars,FCEV,2025,Vehicles,13000
Europe,Projection-APS,EV stock,Cars,PHEV,2025,Vehicles,6800000
Europe,Projection-APS,EV sales share,Cars,EV,2025,percent,31
Europe,Projection-APS,EV stock share,Cars,EV,2025,percent,7
Europe,Projection-APS,Electricity demand,Cars,EV,2025,GWh,55000
Europe,Projection-APS,Electricity demand,Cars,EV,2030,GWh,170000
Europe,Projection-APS,EV stock share,Cars,EV,2030,percent,18
Europe,Projection-APS,EV sales share,Cars,EV,2030,percent,62
Europe,Projection-APS,EV sales,Cars,BEV,2030,Vehicles,7400000
Europe,Projection-APS,EV sales,Cars,FCEV,2030,Vehicles,10000
Europe,Projection-APS,EV sales,Cars,PHEV,2030,Vehicles,1900000
Europe,Projection-APS,EV stock,Cars,BEV,2030,Vehicles,39000000
Europe,Projection-APS,EV stock,Cars,FCEV,2030,Vehicles,58000
Europe,Projection-APS,EV stock,Cars,PHEV,2030,Vehicles,14000000
Europe,Projection-APS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,0.699999988079071
Europe,Projection-APS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",41000
Europe,Projection-APS,Electricity demand,Cars,EV,2035,GWh,340000
Europe,Projection-APS,EV sales share,Cars,EV,2035,percent,92
Europe,Projection-APS,EV stock share,Cars,EV,2035,percent,39
Europe,Projection-APS,EV sales,Cars,BEV,2035,Vehicles,14000000
Europe,Projection-APS,EV sales,Cars,FCEV,2035,Vehicles,28000
Europe,Projection-APS,EV sales,Cars,PHEV,2035,Vehicles,35000
Europe,Projection-APS,EV stock,Cars,BEV,2035,Vehicles,93000000
Europe,Projection-APS,EV stock,Cars,FCEV,2035,Vehicles,150000
Europe,Projection-APS,EV stock,Cars,PHEV,2035,Vehicles,20000000
Europe,Projection-APS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,1.2999999523162842
Europe,Projection-APS,"Oil displacement, million lge",Cars,EV,2035,"Oil displacement, million lge",78000
India,Projection-APS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.0001500000071246177
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",8.5
India,Projection-APS,EV sales share,Cars,EV,2020,percent,0.11999999731779099
India,Projection-APS,EV sales,Cars,BEV,2020,Vehicles,3100
India,Projection-APS,EV stock share,Cars,EV,2020,percent,0.028999999165534973
India,Projection-APS,EV stock,Cars,BEV,2020,Vehicles,12000
India,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,43
India,Projection-APS,EV stock,Cars,PHEV,2020,Vehicles,50
India,Projection-APS,Electricity demand,Cars,EV,2020,GWh,0.023000000044703484
India,Projection-APS,Electricity demand,Cars,EV,2021,GWh,0.05299999937415123
India,Projection-APS,EV stock,Cars,PHEV,2021,Vehicles,100
India,Projection-APS,EV sales,Cars,PHEV,2021,Vehicles,50
India,Projection-APS,EV sales,Cars,FCEV,2021,Vehicles,1
India,Projection-APS,EV stock,Cars,BEV,2021,Vehicles,23000
India,Projection-APS,EV stock,Cars,FCEV,2021,Vehicles,1
India,Projection-APS,EV stock share,Cars,EV,2021,percent,0.05400000140070915
India,Projection-APS,EV sales,Cars,BEV,2021,Vehicles,12000
India,Projection-APS,EV sales share,Cars,EV,2021,percent,0.3499999940395355
India,Projection-APS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.0003499999875202775
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",20
India,Projection-APS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.0013000000035390258
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",72
India,Projection-APS,EV sales share,Cars,EV,2022,percent,1.2000000476837158
India,Projection-APS,EV sales,Cars,BEV,2022,Vehicles,48000
India,Projection-APS,EV stock share,Cars,EV,2022,percent,0.15000000596046448
India,Projection-APS,EV stock,Cars,FCEV,2022,Vehicles,3
India,Projection-APS,EV stock,Cars,BEV,2022,Vehicles,72000
India,Projection-APS,EV sales,Cars,FCEV,2022,Vehicles,2
India,Projection-APS,EV sales,Cars,PHEV,2022,Vehicles,23
India,Projection-APS,EV stock,Cars,PHEV,2022,Vehicles,120
India,Projection-APS,Electricity demand,Cars,EV,2022,GWh,0.07400000095367432
India,Projection-APS,Electricity demand,Cars,EV,2023,GWh,410
India,Projection-APS,EV stock,Cars,PHEV,2023,Vehicles,390
India,Projection-APS,EV sales,Cars,PHEV,2023,Vehicles,270
India,Projection-APS,EV stock,Cars,BEV,2023,Vehicles,150000
India,Projection-APS,EV stock,Cars,FCEV,2023,Vehicles,3
India,Projection-APS,EV stock share,Cars,EV,2023,percent,0.3100000023841858
India,Projection-APS,EV sales,Cars,BEV,2023,Vehicles,82000
India,Projection-APS,EV sales share,Cars,EV,2023,percent,2
India,Projection-APS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.0026000000070780516
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",150
India,Projection-APS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.010999999940395355
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",660
India,Projection-APS,EV sales share,Cars,EV,2025,percent,9
India,Projection-APS,EV stock share,Cars,EV,2025,percent,1
India,Projection-APS,EV sales,Cars,BEV,2025,Vehicles,390000
India,Projection-APS,EV sales,Cars,FCEV,2025,Vehicles,44
India,Projection-APS,EV sales,Cars,PHEV,2025,Vehicles,9600
India,Projection-APS,EV stock,Cars,BEV,2025,Vehicles,670000
India,Projection-APS,EV stock,Cars,FCEV,2025,Vehicles,44
India,Projection-APS,EV stock,Cars,PHEV,2025,Vehicles,10000
India,Projection-APS,Electricity demand,Cars,EV,2025,GWh,1800
India,Projection-APS,Electricity demand,Cars,EV,2030,GWh,18000
India,Projection-APS,EV sales,Cars,BEV,2030,Vehicles,1800000
India,Projection-APS,EV sales,Cars,FCEV,2030,Vehicles,770
India,Projection-APS,EV sales,Cars,PHEV,2030,Vehicles,17000
India,Projection-APS,EV stock,Cars,BEV,2030,Vehicles,6400000
India,Projection-APS,EV stock,Cars,FCEV,2030,Vehicles,1800
India,Projection-APS,EV stock,Cars,PHEV,2030,Vehicles,97000
India,Projection-APS,EV stock share,Cars,EV,2030,percent,9
India,Projection-APS,EV sales share,Cars,EV,2030,percent,32
India,Projection-APS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,0.10000000149011612
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",5800
India,Projection-APS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,0.30000001192092896
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2035,"Oil displacement, million lge",17000
India,Projection-APS,EV sales share,Cars,EV,2035,percent,59
India,Projection-APS,EV stock share,Cars,EV,2035,percent,23
India,Projection-APS,EV sales,Cars,BEV,2035,Vehicles,4000000
India,Projection-APS,EV sales,Cars,FCEV,2035,Vehicles,6800
India,Projection-APS,EV sales,Cars,PHEV,2035,Vehicles,3400
India,Projection-APS,EV stock,Cars,BEV,2035,Vehicles,22000000
India,Projection-APS,EV stock,Cars,FCEV,2035,Vehicles,20000
India,Projection-APS,EV stock,Cars,PHEV,2035,Vehicles,140000
India,Projection-APS,Electricity demand,Cars,EV,2035,GWh,56000
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2020,GWh,1700
Rest of the world,Projection-APS,EV sales,Cars,BEV,2020,Vehicles,110000
Rest of the world,Projection-APS,EV stock,Cars,BEV,2020,Vehicles,450000
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2020,Vehicles,5500
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2020,Vehicles,330000
Rest of the world,Projection-APS,EV stock,Cars,FCEV,2020,Vehicles,14000
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,57000
Rest of the world,Projection-APS,EV sales share,Cars,EV,2020,percent,0.7900000214576721
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.010999999940395355
Rest of the world,Projection-APS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",610
Rest of the world,Projection-APS,EV stock share,Cars,EV,2020,percent,0.1899999976158142
Rest of the world,Projection-APS,EV stock share,Cars,EV,2021,percent,0.25999999046325684
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.017000000923871994
Rest of the world,Projection-APS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",980
Rest of the world,Projection-APS,EV sales share,Cars,EV,2021,percent,1.399999976158142
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2021,Vehicles,110000
Rest of the world,Projection-APS,EV stock,Cars,FCEV,2021,Vehicles,26000
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2021,Vehicles,440000
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2021,Vehicles,12000
Rest of the world,Projection-APS,EV stock,Cars,BEV,2021,Vehicles,660000
Rest of the world,Projection-APS,EV sales,Cars,BEV,2021,Vehicles,210000
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2021,GWh,1900
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2022,GWh,2000
Rest of the world,Projection-APS,EV sales,Cars,BEV,2022,Vehicles,410000
Rest of the world,Projection-APS,EV stock,Cars,BEV,2022,Vehicles,1100000
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2022,Vehicles,11000
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2022,Vehicles,550000
Rest of the world,Projection-APS,EV stock,Cars,FCEV,2022,Vehicles,37000
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2022,Vehicles,120000
Rest of the world,Projection-APS,EV sales share,Cars,EV,2022,percent,2.5
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.029999999329447746
Rest of the world,Projection-APS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",1700
Rest of the world,Projection-APS,EV stock share,Cars,EV,2022,percent,0.3799999952316284
Rest of the world,Projection-APS,EV stock share,Cars,EV,2023,percent,0.5799999833106995
Rest of the world,Projection-APS,EV sales share,Cars,EV,2023,percent,3.9000000953674316
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.054999999701976776
Rest of the world,Projection-APS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",3200
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2023,Vehicles,200000
Rest of the world,Projection-APS,EV stock,Cars,FCEV,2023,Vehicles,42000
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2023,Vehicles,740000
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2023,Vehicles,4600
Rest of the world,Projection-APS,EV stock,Cars,BEV,2023,Vehicles,1700000
Rest of the world,Projection-APS,EV sales,Cars,BEV,2023,Vehicles,690000
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2023,GWh,7900
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2025,GWh,21000
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.12999999523162842
Rest of the world,Projection-APS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",7500
Rest of the world,Projection-APS,EV sales,Cars,BEV,2025,Vehicles,1600000
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2025,Vehicles,68000
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2025,Vehicles,450000
Rest of the world,Projection-APS,EV sales share,Cars,EV,2025,percent,9
Rest of the world,Projection-APS,EV stock share,Cars,EV,2025,percent,1
Rest of the world,Projection-APS,EV stock,Cars,BEV,2025,Vehicles,4400000
Rest of the world,Projection-APS,EV stock,Cars,FCEV,2025,Vehicles,110000
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2025,Vehicles,1500000
Rest of the world,Projection-APS,EV sales,Cars,BEV,2030,Vehicles,5900000
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2030,Vehicles,190000
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2030,Vehicles,1400000
Rest of the world,Projection-APS,EV stock,Cars,BEV,2030,Vehicles,22000000
Rest of the world,Projection-APS,EV stock,Cars,FCEV,2030,Vehicles,760000
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2030,Vehicles,6100000
Rest of the world,Projection-APS,EV stock share,Cars,EV,2030,percent,6
Rest of the world,Projection-APS,EV sales share,Cars,EV,2030,percent,24
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,0.5899999737739563
Rest of the world,Projection-APS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",34000
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2030,GWh,120000
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2035,GWh,370000
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,1.7000000476837158
Rest of the world,Projection-APS,"Oil displacement, million lge",Cars,EV,2035,"Oil displacement, million lge",100000
Rest of the world,Projection-APS,EV sales share,Cars,EV,2035,percent,46
Rest of the world,Projection-APS,EV stock share,Cars,EV,2035,percent,18
Rest of the world,Projection-APS,EV sales,Cars,BEV,2035,Vehicles,15000000
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2035,Vehicles,470000
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2035,Vehicles,2000000
Rest of the world,Projection-APS,EV stock,Cars,BEV,2035,Vehicles,77000000
Rest of the world,Projection-APS,EV stock,Cars,FCEV,2035,Vehicles,2400000
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2035,Vehicles,15000000
USA,Projection-APS,EV stock,Cars,FCEV,2020,Vehicles,9200
USA,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,64000
USA,Projection-APS,EV stock,Cars,PHEV,2020,Vehicles,640000
USA,Projection-APS,EV stock,Cars,BEV,2020,Vehicles,1100000
USA,Projection-APS,EV sales,Cars,FCEV,2020,Vehicles,1200
USA,Projection-APS,EV sales,Cars,BEV,2020,Vehicles,230000
USA,Projection-APS,EV stock share,Cars,EV,2020,percent,0.7699999809265137
USA,Projection-APS,EV sales share,Cars,EV,2020,percent,2.299999952316284
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.0430000014603138
USA,Projection-APS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",2500
USA,Projection-APS,Electricity demand,Cars,EV,2020,GWh,5400
USA,Projection-APS,Electricity demand,Cars,EV,2021,GWh,7000
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.0689999982714653
USA,Projection-APS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",4000
USA,Projection-APS,EV sales share,Cars,EV,2021,percent,4.699999809265137
USA,Projection-APS,EV stock share,Cars,EV,2021,percent,0.949999988079071
USA,Projection-APS,EV sales,Cars,BEV,2021,Vehicles,470000
USA,Projection-APS,EV sales,Cars,FCEV,2021,Vehicles,3100
USA,Projection-APS,EV stock,Cars,BEV,2021,Vehicles,1500000
USA,Projection-APS,EV stock,Cars,PHEV,2021,Vehicles,720000
USA,Projection-APS,EV sales,Cars,PHEV,2021,Vehicles,160000
USA,Projection-APS,EV stock,Cars,FCEV,2021,Vehicles,12000
USA,Projection-APS,EV stock,Cars,FCEV,2022,Vehicles,15000
USA,Projection-APS,EV sales,Cars,PHEV,2022,Vehicles,190000
USA,Projection-APS,EV stock,Cars,PHEV,2022,Vehicles,910000
USA,Projection-APS,EV stock,Cars,BEV,2022,Vehicles,2100000
USA,Projection-APS,EV sales,Cars,FCEV,2022,Vehicles,2700
USA,Projection-APS,EV sales,Cars,BEV,2022,Vehicles,800000
USA,Projection-APS,EV stock share,Cars,EV,2022,percent,1.2999999523162842
USA,Projection-APS,EV sales share,Cars,EV,2022,percent,7.400000095367432
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.10999999940395355
USA,Projection-APS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",6200
USA,Projection-APS,Electricity demand,Cars,EV,2022,GWh,7200
USA,Projection-APS,Electricity demand,Cars,EV,2023,GWh,22000
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.17000000178813934
USA,Projection-APS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",9700
USA,Projection-APS,EV sales share,Cars,EV,2023,percent,9.5
USA,Projection-APS,EV stock share,Cars,EV,2023,percent,2.0999999046325684
USA,Projection-APS,EV sales,Cars,BEV,2023,Vehicles,1100000
USA,Projection-APS,EV sales,Cars,FCEV,2023,Vehicles,3000
USA,Projection-APS,EV stock,Cars,BEV,2023,Vehicles,3500000
USA,Projection-APS,EV stock,Cars,PHEV,2023,Vehicles,1300000
USA,Projection-APS,EV sales,Cars,PHEV,2023,Vehicles,290000
USA,Projection-APS,EV stock,Cars,FCEV,2023,Vehicles,18000
USA,Projection-APS,EV sales,Cars,BEV,2025,Vehicles,2600000
USA,Projection-APS,EV sales,Cars,FCEV,2025,Vehicles,3800
USA,Projection-APS,EV sales,Cars,PHEV,2025,Vehicles,470000
USA,Projection-APS,EV stock,Cars,BEV,2025,Vehicles,7600000
USA,Projection-APS,EV stock,Cars,FCEV,2025,Vehicles,25000
USA,Projection-APS,EV stock,Cars,PHEV,2025,Vehicles,2100000
USA,Projection-APS,EV stock share,Cars,EV,2025,percent,4
USA,Projection-APS,EV sales share,Cars,EV,2025,percent,20
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.3499999940395355
USA,Projection-APS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",20000
USA,Projection-APS,Electricity demand,Cars,EV,2025,GWh,51000
USA,Projection-APS,Electricity demand,Cars,EV,2030,GWh,240000
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,1.2000000476837158
USA,Projection-APS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",71000
USA,Projection-APS,EV sales share,Cars,EV,2030,percent,55
USA,Projection-APS,EV stock share,Cars,EV,2030,percent,17
USA,Projection-APS,EV sales,Cars,BEV,2030,Vehicles,7400000
